Komentar,Sumber_Video
siap siap jakarta penuh sesak motor dan Tj hanya untuk pemegang kartu gratis ASN TNI dll,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
3500 aja pd ngeluh dtg busway gk sesuai wktu yang dijadwalkan di apk tj lah ini mau dinaikin 😂 😂😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"klo semuanya dibebankan kpd masyarakat, lama2 bisa ngamuk lg ini",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
busway bakal ga ada penumpang dah itu kalo naek naek Jaklingko aja gratis,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
wajarlah 5000rp,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
yg penting masa tunggunya ga lama bgt kayak sekarang.,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"ga rela naik,kalo potong admin Tj suka ke double 2x jadi 7K",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
Rp3500 itu dari jaman gubernur bang Yos kan..,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"5000 itu setara 2 garpit atau gorengan 4 biji. masa iya naik 1500 aja protes org jakarta. gimana gue org bekasi angkot user, tarif tembak mainnya",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
jangan ya jangan PAK GUB WA GUB. gimna yang kerjanya naek baswey 3x translit keluar halte..belum ojeg nya.. jangan ya jangan ga siap.. menangis ade pa...,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
kasihan yg kerja di daerah yg tidak ada halte naik turun bus harus nge tap,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
asal ga kepotong 2 kali aja itu saldo,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
jangan naik tarifnyaa soalnya saya kemana2 bawa toddler 😭😭 anak kecil di tinggi 100cm aja bayar 😭 minimal bawa 2kartu kalo naik Transjakarta,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"kalau pun naik jangan mahal2, naik nya 10% aja lah kasihan rakyat.🙂",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
gpp sbnrnya naik. asal fasilitasnya jg diperbaiki. busway nya jgn pada lamaa dn lelet.. durasi dr busway dn busway lainnya aja lama beutt Ampe pegel nunggu,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
gaji nya jg naikkin donk,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
"Udh mending naik ojek aja ga macet, ga ngantriii😁",https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
balik ke sepeda listrik😂😂😂,https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269
